namespace_of_classname,classname,namespace_of_property,property_name,column_name_of_property_value,property_value,emmisive_color,pbr_metallic_roughness_base_color,pbr_metallic_roughness_metallic_roughness,pbr_specular_glossiness_diffuse_color,pbr_specular_glossiness_specular_glossiness
,anything_else,,,,,,#ffff00ff,#000000,,
bldg,Building,,,,,,#999999ff,#000000,,
bldg,BuildingConstructiveElement,,,,,,#86909cff,#000000,,
bldg,BuildingFurniture,,,,,,#e67322ff,#000000,,
bldg,BuildingInstallation,,,,,,#647a7aff,#000000,,
bldg,BuildingPart,,,,,,#999999ff,#000000,,
bldg,BuildingRoom,,,,,,#f33f6680,#000000,,
bldg,BuildingUnit,,,,,,#deb8b980,#000000,,
bldg,Storey,,,,,,#deb88780,#000000,,
brid,Bridge,,,,,,#2f4f4f80,#000000,,
brid,BridgeConstructiveElement,,,,,,#626a80ff,#000000,,
brid,BridgeFurniture,,,,,,#ff4040ff,#000000,,
brid,BridgeInstallation,,,,,,#596b62ff,#000000,,
brid,BridgePart,,,,,,#19450080,#000000,,
brid,BridgeRoom,,,,,,#add8e6ff,#000000,,
con,CeilingSurface,,,,,,#ccccccff,#000000,,
con,Door,,,,,,#805c45ff,#000000,,
con,DoorSurface,,,,,,#805c45ff,#000000,,
con,FloorSurface,,,,,,#666666ff,#000000,,
con,GroundSurface,,,,,,#666666ff,#000000,,
con,InteriorWallSurface,,,,,,#666666ff,#000000,,
con,OtherConstruction,,,,,,#ff6a6aff,#000000,,
con,OuterCeilingSurface,,,,,,#ccccccff,#000000,,
con,OuterFloorSurface,,,,,,#666666ff,#000000,,
con,RoofSurface,,,,,,#ff0000ff,#000000,,
con,WallSurface,,,,,,#666666ff,#000000,,
con,Window,,,,,,#00ffff40,#000000,,
con,WindowSurface,,,,,,#00ffff40,#000000,,
core,ClosureSurface,,,,,,#666666ff,#000000,,
dem,BreaklineRelief,,,,,,#616161ff,#000000,,
dem,MassPointRelief,,,,,,#616161ff,#000000,,
dem,RasterRelief,,,,,,#616161ff,#000000,,
dem,ReliefFeature,,,,,,#00b900ff,#000000,,
dem,TINRelief,,,,,,#00b900ff,#000000,,
frn,CityFurniture,,,,,,#ff4040ff,#000000,,
gen,GenericLogicalSpace,,,,,,#80414180,#000000,,
gen,GenericOccupiedSpace,,,,,,#25928180,#000000,,
gen,GenericThematicSurface,,,,,,#c4b08fff,#000000,,
gen,GenericUnoccupiedSpace,,,,,,#0064ff80,#000000,,
luse,LandUse,,,,,,#43ee00ff,#000000,,
tran,AuxiliaryTrafficArea,,,,,,#9c8e8cff,#000000,,
tran,AuxiliaryTrafficArea,gen,opendrive_lane_type,val_string,BORDER,,#F3A411FF,#000000,,
tran,AuxiliaryTrafficArea,gen,opendrive_lane_type,val_string,MEDIAN,,#15520DFF,#000000,,
tran,AuxiliaryTrafficArea,gen,opendrive_lane_type,val_string,RESTRICTED,,#961900FF,#000000,,
tran,AuxiliaryTrafficSpace,,,,,,#65946080,#000000,,
tran,AuxiliaryTrafficSpace,gen,opendrive_lane_type,val_string,BORDER,,#F3A41180,#000000,,
tran,AuxiliaryTrafficSpace,gen,opendrive_lane_type,val_string,MEDIAN,,#15520D80,#000000,,
tran,AuxiliaryTrafficSpace,gen,opendrive_lane_type,val_string,RESTRICTED,,#96190080,#000000,,
tran,ClearanceSpace,,,,,,#0064ff80,#000000,,
tran,Hole,,,,,,#7ed3ddff,#000000,,
tran,HoleSurface,,,,,,#919191ff,#000000,,
tran,Intersection,,,,,,#645462ff,#000000,,
tran,Marking,,,,,,#ffffffff,#000000,,
tran,Railway,,,,,,#a0a0a0ff,#000000,,
tran,Road,,,,,,#808080ff,#000000,,
tran,Section,,,,,,#919191ff,#000000,,
